year,region,site_unique_code,transect_unique_code,epifauna_per_g_transect_all,epifauna_per_g_transect_large,ampithoid_per_g_transect_all,ampithoid_per_g_transect_large,lacuna_per_g_transect_all,lacuna_per_g_transect_large,idoteid_per_g_transect_all,idoteid_per_g_transect_large,epifauna_log_per_g_transect_all,epifauna_log_per_g_transect_large,ampithoid_log_per_g_transect_all,ampithoid_log_per_g_transect_large,lacuna_log_per_g_transect_all,lacuna_log_per_g_transect_large,idoteid_log_per_g_transect_all,idoteid_log_per_g_transect_large,richness_site_all,richness_site_large
2019,AK,AK.A.2019,AK.A.L4.2019,0.25838528899233265,0.23537509547660518,0,0,0.034515290273591195,0.023010193515727466,0.10042990260150698,0.10042990260150698,-0.5713251350469033,-0.6130739177366039,-2,-2,-1.551102413892391,-1.625826947532693,-0.975219549530095,-0.975219549530095,29,29
2019,AK,AK.A.2019,AK.A.L5.2019,3.0485480764777595,1.0672424371668865,0.034972908252228464,0.0167636105848395,1.1127656813353588,0.149426808181006,0.20405470118317293,0.19495005234947843,0.4552515937448705,0.012688792156874004,-1.3930759596966658,-1.5730898215554792,0.026428321684870887,-0.7975589793375494,-0.6821018466735856,-0.6975646099600528,29,29
2019,AK,AK.A.2019,AK.A.L6.2019,3.9544783530343226,1.390493349186495,0,0,2.1154811692208373,0.39833944694432694,0.1352699975281758,0.11253755833745065,0.5947162434476694,0.10307894995746425,-2,-2,0.3182408420206754,-0.6872375795093142,-0.8378370857549523,-0.918590053258503,29,29
2019,AK,AK.A.2019,AK.A.U1.2019,11.738161685908313,1.9771158554377095,0,0,3.279504969999013,0.3825534116099384,0.2717650223703363,0.2717650223703363,1.0150603222221537,0.26128356619376353,-2,-2,0.47673612400002996,-0.42308261173135275,-0.5567644173305815,-0.5567644173305815,29,29
2019,AK,AK.A.2019,AK.A.U2.2019,9.757579286107209,2.918599110412949,0,0,1.9870485452368436,0.44400336915870797,0.20912968375554591,0.20912968375554591,0.7927291092875693,0.4253085596754153,-2,-2,0.03448499964552962,-0.3831046184154536,-0.7173759659714347,-0.7173759659714347,29,29
2019,AK,AK.A.2019,AK.A.U3.2019,6.474481059793513,3.2109013358542215,0,0,3.406141560135742,1.6820559388490726,0.36066407275011503,0.36066407275011503,0.6186735052456864,0.411659495144256,-2,-2,0.2538170344680246,0.05522888015353741,-0.4382375389950594,-0.4382375389950594,29,29
2019,AK,AK.B.2019,AK.B.L4.2019,0.4557534740009767,0.27982103205868253,0,0,0.10221070704170682,0.10221070704170682,0,0,-0.5100717851615462,-0.6329461904755664,-2,-2,-0.9950537429395572,-0.9950537429395572,-2,-2,26,25
2019,AK,AK.B.2019,AK.B.L5.2019,0.3390658158673541,0.22385068048967632,0,0,0.043248527883555085,0.019259658718847505,0,0,-0.4859644364070579,-0.9157306767876139,-2,-2,-1.2754120237609294,-1.6570426586752767,-2,-2,26,25
2019,AK,AK.B.2019,AK.B.L6.2019,1.3271710162848833,0.5803446646352276,0,0,0.1664816870144284,0.11098779134295225,0.0202249008979856,0.0202249008979856,-0.05371108714131087,-0.3805674873706924,-2,-2,-1.232376128472023,-1.3172788628624157,-1.6485702678263707,-1.6485702678263707,26,25
2019,AK,AK.B.2019,AK.B.U1.2019,2.193216158039146,1.2499899962672865,0,0,0.5935768284659071,0.3392476533633883,0.03704526931910795,0.03704526931910795,0.3250078958726932,0.05840305674811988,-2,-2,-0.2192678745092846,-0.4601656621984176,-1.5376264328285494,-1.5376264328285494,26,25
2019,AK,AK.B.2019,AK.B.U2.2019,1.351289252116235,0.8864442961357362,0,0,0.1905066449829281,0.1625627563113806,0,0,0.11032006470358251,-0.05595549037668556,-2,-2,-0.7454392741065645,-0.7920267463727705,-2,-2,26,25
